"","Num_ID","Slide_code","Site","Season","Family","Abundance_200","Abundance_50","Date_pollen","Count_scaled"
"1","J.31","J-148","JAM","early/mid","Adoxaceae",3,3,2024-11-07,0
"2","J.31","J-148","JAM","early/mid","Amaryllidaceae",1,0,2024-11-07,0
"3","J.31","J-148","JAM","early/mid","Asteraceae",5,5,2024-11-07,166
"4","J.31","J-148","JAM","early/mid","Brassicaceae",5,5,2024-11-07,0
"5","J.31","J-148","JAM","early/mid","Caprifoliaceae",2,3,2024-11-07,0
"6","J.31","J-148","JAM","early/mid","Caryophyllaceae",5,4,2024-11-07,0
"7","J.31","J-148","JAM","early/mid","Ericaceae",3,0,2024-11-07,0
"8","J.31","J-148","JAM","early/mid","Iridaceae",3,0,2024-11-07,0
"9","J.31","J-148","JAM","early/mid","Myrtaceae",3,2,2024-11-07,0
"10","J.31","J-148","JAM","early/mid","Plantaginaceae",5,5,2024-11-07,0
"11","J.31","J-148","JAM","early/mid","Polygonaceae",1,0,2024-11-07,0
"12","J.31","J-148","JAM","early/mid","Primulaceae",2,2,2024-11-07,0
"13","J.31","J-148","JAM","early/mid","Ranunculaceae",5,5,2024-11-07,134
"14","J.31","J-148","JAM","early/mid","Rosaceae",4,3,2024-11-07,0
"15","J.31","J-148","JAM","early/mid","Solanaceae",1,1,2024-11-07,0
"16","J.31","J-148","JAM","early/mid","Argophyllaceae",3,2,2024-11-07,0
"17","J.31","J-148","JAM","early/mid","Gramineae",0,0,2024-11-07,0
"18","J.21","J-187","JAM","early/mid","Adoxaceae",3,3,2024-11-07,0
"19","J.21","J-187","JAM","early/mid","Amaryllidaceae",1,0,2024-11-07,0
"20","J.21","J-187","JAM","early/mid","Asteraceae",5,5,2024-11-07,0
"21","J.21","J-187","JAM","early/mid","Brassicaceae",5,5,2024-11-07,0
"22","J.21","J-187","JAM","early/mid","Caprifoliaceae",2,3,2024-11-07,0
"23","J.21","J-187","JAM","early/mid","Caryophyllaceae",5,4,2024-11-07,0
"24","J.21","J-187","JAM","early/mid","Ericaceae",3,0,2024-11-07,0
"25","J.21","J-187","JAM","early/mid","Iridaceae",3,0,2024-11-07,0
"26","J.21","J-187","JAM","early/mid","Myrtaceae",3,2,2024-11-07,0
"27","J.21","J-187","JAM","early/mid","Plantaginaceae",5,5,2024-11-07,0
"28","J.21","J-187","JAM","early/mid","Polygonaceae",1,0,2024-11-07,0
"29","J.21","J-187","JAM","early/mid","Primulaceae",2,2,2024-11-07,0
"30","J.21","J-187","JAM","early/mid","Ranunculaceae",5,5,2024-11-07,0
"31","J.21","J-187","JAM","early/mid","Rosaceae",4,3,2024-11-07,300
"32","J.21","J-187","JAM","early/mid","Solanaceae",1,1,2024-11-07,0
"33","J.21","J-187","JAM","early/mid","Argophyllaceae",3,2,2024-11-07,0
"34","J.21","J-187","JAM","early/mid","Gramineae",0,0,2024-11-07,0
